ID,Age_cal,Precision
4224,36120,1804
4454,36120,1804
5046,36120,1804
5289,36120,1804
5641,36120,1804
5951,36120,1804
5991,36120,1804
6231,36120,1804
6589,36120,1804
6757,36120,1804
6928,36120,1804
7103,36120,1804
7147,36120,1804
7292,36120,1804
7568,36120,1804
7680,36120,1804
7933,36120,1804
8150,36120,1804
8705,36120,1804
497,35490,2310
2703,35490,2310
3702,35490,2310
4050,35490,2310
4223,35490,2310
4453,35490,2310
5471,35490,2310
5717,35490,2310
6197,35490,2310
6847,35490,2310
7742,35490,2310
8616,35490,2310
181,31951,731
496,31951,731
657,31951,731
913,31951,731
2678,31951,731
3421,31951,731
3577,31951,731
4049,31951,731
4221,31951,731
4452,31951,731
5045,31951,731
5288,31951,731
5640,31951,731
5949,31951,731
6230,31951,731
6298,31951,731
6756,31951,731
6927,31951,731
7102,31951,731
7146,31951,731
7291,31951,731
7567,31951,731
7679,31951,731
7931,31951,731
8149,31951,731
8704,31951,731
381,30727,318
495,30727,318
2664,30727,318
3700,30727,318
4048,30727,318
4220,30727,318
4451,30727,318
5467,30727,318
5713,30727,318
6196,30727,318
6846,30727,318
7741,30727,318
8615,30727,318
380,30116,368
494,30116,368
2662,30116,368
3699,30116,368
4047,30116,368
4219,30116,368
4450,30116,368
5466,30116,368
5712,30116,368
6195,30116,368
6845,30116,368
7536,30116,368
7740,30116,368
8614,30116,368
311,29680,388
408,29680,388
1991,29680,388
1992,29680,388
2228,29680,388
3638,29680,388
3996,29680,388
4091,29680,388
4393,29680,388
5420,29680,388
5650,29680,388
6152,29680,388
6797,29680,388
7693,29680,388
8562,29680,388
309,29040,416
406,29040,416
1988,29033,390
1989,29033,390
2227,29040,416
3637,29040,416
3995,29040,416
4089,29040,416
4391,29040,416
5419,29040,416
5649,29040,416
6151,29040,416
6796,29040,416
7692,29040,416
8561,29040,416
180,29240,1640
493,28899,823
656,29240,1640
912,29240,1640
2658,28899,823
3420,29240,1640
3576,29240,1640
4046,29240,1640
4218,29240,1640
4449,29240,1640
5044,29240,1640
5287,29240,1640
5639,29240,1640
5948,29240,1640
6229,29240,1640
6297,29240,1640
6755,29240,1640
6926,29240,1640
7101,29240,1640
7145,29240,1640
7290,29240,1640
7562,29240,1640
7678,29240,1640
7930,29240,1640
8148,29240,1640
8703,29240,1640
379,28794,1502
492,28794,1502
2649,28794,1502
3698,28794,1502
4045,28794,1502
4216,28794,1502
4448,28794,1502
5463,28794,1502
5711,28794,1502
6194,28794,1502
6844,28794,1502
7739,28794,1502
8613,28794,1502
2025,27323,232
7535,27323,232
375,26127,218
489,26127,218
2621,26127,218
3695,26127,218
4043,26127,218
4213,26127,218
4447,26127,218
5458,26127,218
5709,26127,218
6192,26127,218
6842,26127,218
7534,26127,218
7737,26127,218
8611,26127,218
374,26185,489
488,26185,489
2620,26185,489
3694,26185,489
4042,26185,489
4212,26185,489
4446,26185,489
5457,26185,489
5708,26185,489
6191,26185,489
6841,26185,489
7736,26185,489
8610,26185,489
373,25541,700
487,25541,700
2619,25541,700
3693,25541,700
4041,25541,700
4211,25541,700
4445,25541,700
5456,25541,700
5707,25541,700
6190,25541,700
6840,25541,700
7735,25541,700
8609,25541,700
179,24678,1126
370,24678,1126
484,24678,1126
655,24678,1126
910,24678,1126
2615,24678,1126
3574,24678,1126
3690,24678,1126
4040,24678,1126
4208,24678,1126
4444,24678,1126
5043,24678,1126
5286,24678,1126
5452,24678,1126
5638,24678,1126
5704,24678,1126
5947,24678,1126
6187,24678,1126
6228,24678,1126
6754,24678,1126
6837,24678,1126
6925,24678,1126
7144,24678,1126
7289,24678,1126
7560,24678,1126
7677,24678,1126
7732,24678,1126
7929,24678,1126
8147,24678,1126
8606,24678,1126
8702,24678,1126
369,24143,323
483,24143,323
2614,24143,323
3688,24143,323
4039,24143,323
4207,24143,323
4443,24143,323
5451,24143,323
5703,24143,323
6186,24143,323
6836,24143,323
7731,24143,323
8605,24143,323
1944,23877,128
1945,23877,128
306,23872,128
403,23872,128
2226,23872,128
3636,23872,128
3994,23872,128
4086,23872,128
4388,23872,128
5418,23872,128
5648,23872,128
6150,23872,128
6795,23872,128
7691,23872,128
8560,23872,128
178,23395,1078
366,23395,1078
480,23395,1078
654,23395,1078
909,23395,1078
2609,23395,1078
3573,23395,1078
3685,23395,1078
4036,23395,1078
4204,23395,1078
4442,23395,1078
5285,23395,1078
5448,23395,1078
5637,23395,1078
5699,23395,1078
5946,23395,1078
6183,23395,1078
6227,23395,1078
6753,23395,1078
6833,23395,1078
6924,23395,1078
7143,23395,1078
7288,23395,1078
7558,23395,1078
7676,23395,1078
7728,23395,1078
7928,23395,1078
8146,23395,1078
8602,23395,1078
8701,23395,1078
365,23135,437
479,23135,437
2608,23135,437
3684,23135,437
4035,23135,437
4203,23135,437
4441,23135,437
5447,23135,437
5698,23135,437
6182,23135,437
6832,23135,437
7727,23135,437
8601,23135,437
364,22929,297
478,22929,297
653,22929,297
908,22929,297
3572,22929,297
4034,22929,297
4202,22929,297
4440,22929,297
5042,22929,297
5284,22929,297
5636,22929,297
5945,22929,297
6226,22929,297
6752,22929,297
6923,22929,297
7142,22929,297
7287,22929,297
7557,22929,297
7675,22929,297
7927,22929,297
8145,22929,297
8700,22929,297
363,21264,569
477,21264,569
2602,21264,569
3683,21264,569
4033,21264,569
4201,21264,569
4439,21264,569
5446,21264,569
5697,21264,569
6181,21264,569
6831,21264,569
7726,21264,569
8600,21264,569
361,20994,265
475,20994,265
2600,20994,265
3681,20994,265
4031,20994,265
4199,20994,265
4437,20994,265
5444,20994,265
5695,20994,265
6179,20994,265
6829,20994,265
7724,20994,265
8598,20994,265
358,20596,772
472,20596,772
2588,20596,772
3678,20596,772
4028,20596,772
4193,20596,772
4434,20596,772
5441,20596,772
5692,20596,772
6176,20596,772
6826,20596,772
7721,20596,772
8595,20596,772
352,16948,604
466,16948,604
2567,16948,604
3675,16948,604
4025,16948,604
4187,16948,604
4431,16948,604
5438,16948,604
5689,16948,604
6173,16948,604
6823,16948,604
7718,16948,604
8591,16948,604
305,16361,82
402,16361,82
1909,16383,178
1910,16383,178
2225,16361,82
3635,16361,82
4085,16361,82
4387,16361,82
5647,16361,82
6149,16361,82
6794,16361,82
7690,16361,82
8559,16361,82
351,15989,177
465,15989,177
2562,15989,177
3674,15989,177
4024,15989,177
4186,15989,177
4430,15989,177
5437,15989,177
5686,15989,177
6172,15989,177
6822,15989,177
7529,15989,177
7717,15989,177
8589,15989,177
4185,15733,198
350,15688,1208
464,15688,1208
2561,15688,1208
3673,15688,1208
4023,15688,1208
4184,15688,1208
4429,15688,1208
5436,15688,1208
5685,15688,1208
6171,15688,1208
6821,15688,1208
7716,15688,1208
8588,15688,1208
348,15493,175
463,15493,175
2559,15493,175
3672,15493,175
4022,15493,175
4183,15493,175
4428,15493,175
5435,15493,175
5684,15493,175
6170,15493,175
6820,15493,175
7528,15493,175
7715,15493,175
8587,15493,175
344,14763,138
459,14763,138
2555,14763,138
3668,14687,249
4179,14763,138
4424,14763,138
5680,14763,138
6166,14763,138
6816,14763,138
7711,14763,138
8583,14763,138
176,13935,201
342,13935,201
457,13935,201
652,13935,201
904,13935,201
2548,13935,201
3569,13935,201
3666,13935,201
4017,13935,201
4177,13935,201
4422,13935,201
5041,13935,201
5280,13935,201
5430,13935,201
5635,13935,201
5678,13935,201
6164,13935,201
6225,13935,201
6750,13935,201
6814,13935,201
6922,13935,201
7141,13935,201
7286,13935,201
7527,13935,201
7674,13935,201
7709,13935,201
7925,13935,201
8581,13935,201
8697,13935,201
341,13907,262
456,13907,262
2547,13907,262
3665,13907,262
4016,13907,262
4176,13907,262
4421,13907,262
5429,13907,262
5677,13907,262
6163,13907,262
6813,13907,262
7708,13907,262
8580,13907,262
175,13823,177
340,13823,177
455,13823,177
651,13823,177
903,13823,177
2544,13823,177
3416,13823,177
3568,13823,177
3664,13823,177
4015,13823,177
4175,13823,177
4420,13823,177
5040,13823,177
5279,13823,177
5499,13823,177
5634,13823,177
5755,13823,177
5944,13823,177
6202,13823,177
6224,13823,177
6749,13823,177
6921,13823,177
7027,13823,177
7140,13823,177
7285,13823,177
7526,13823,177
7673,13823,177
7746,13823,177
7924,13823,177
8144,13823,177
8642,13823,177
8696,13823,177
339,13724,175
454,13724,175
2540,13724,175
3663,13724,175
4014,13724,175
4174,13724,175
4419,13724,175
5428,13724,175
5676,13724,175
6162,13724,175
6812,13724,175
7707,13724,175
8579,13724,175
174,7384,142
448,7384,142
901,7384,142
3566,7384,142
4165,7384,142
4414,7384,142
5633,7384,142
